2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03481712+2353253,*,57.07134247,23.89038467,3,5850.0,5.14,2MASS J03481712+2353253
2M03481723+3250595,*,57.07181931,32.84987259,0,4070.0,2.4,2MASS J03481723+3250595
2M03481729+2430160,*,57.07204056,24.50445557,3,4310.0,5.1,2MASS J03481729+2430160
2M03481769+2502523,*,57.07371902,25.04788589,3,5730.0,5.23,2MASS J03481769+2502523
2M03481801+2353294,*,57.07506561,23.89151764,3,4220.0,5.1,2MASS J03481801+2353294
2M03481983+2336121,*,57.08262634,23.60337257,3,3940.0,5.33,2MASS J03481983+2336121
2M03482028+2454552,*,57.08451843,24.9153595,3,3080.0,5.22,2MASS J03482028+2454552
2M03482169+3249045,*,57.09038162,32.8179245,0,5650.0,4.61,2MASS J03482169+3249045
2M03482264+2252217,*,57.0943718,22.87269974,3,3890.0,5.34,2MASS J03482264+2252217
2M03482276+2358212,*,57.09484863,23.97256851,3,4080.0,5.21,2MASS J03482276+2358212
2M03482280+2448537,*,57.09501266,24.81494331,3,3280.0,5.16,2MASS J03482280+2448537
2M03482343+3237440,*,57.09763718,32.62890625,0,5120.0,3.9,2MASS J03482343+3237440
2M03482362+3157457,*,57.09844208,31.96270561,0,6690.0,3.91,2MASS J03482362+3157457
2M03482523+2414262,*,57.10512543,24.24061394,3,3020.0,5.22,2MASS J03482523+2414262
2M03482603+2514411,*,57.10848618,25.24475479,3,4010.0,5.2,2MASS J03482603+2514411
2M03482616+2402544,*,57.10902405,24.04844475,0,6110.0,5.07,2MASS J03482616+2402544
2M03482658+2311299,*,57.11077118,23.1916523,3,2820.0,4.59,2MASS J03482658+2311299
2M03482802+2318027,*,57.11678696,23.30077362,3,4540.0,4.59,2MASS J03482802+2318027
2M03482816+3155252,*,57.11737442,31.92367172,0,7440.0,4.43,2MASS J03482816+3155252
2M03482949+3218184,*,57.12288284,32.30513382,0,8020.0,4.16,2MASS J03482949+3218184
2M03483009+2420441,*,57.12538147,24.34559059,0,7480.0,4.46,2MASS J03483009+2420441
2M03483104+2416535,*,57.12936401,24.28153038,0,3950.0,5.26,2MASS J03483104+2416535
2M03483451+2326053,*,57.14380646,23.43481827,3,5990.0,5.15,2MASS J03483451+2326053
